date,sadness_50th,sadness_25th,sadness_75th,joy_50th,joy_25th,joy_75th,fear_50th,fear_25th,fear_75th,disgust_50th,disgust_25th,disgust_75th,anger_50th,anger_25th,anger_75th
1,0.243772,0.145337,0.396602,0.127744625,0.04750981818181818,0.338487,0.098491,0.050711,0.164769,0.2271,0.105623,0.418684,0.149994,0.074657,0.287368
2,0.223383,0.12462575,0.37479575000000004,0.1487955,0.046476,0.371145,0.0880975,0.045919,0.15764875,0.1849985,0.08139275,0.34955875000000003,0.156983,0.08565824999999999,0.30029
3,0.204921,0.11032275,0.3595715,0.195057,0.06448949999999999,0.46723375,0.0863835,0.04385875,0.15551700000000002,0.1311195,0.06209675,0.27378625,0.1331435,0.07401775,0.2473755
4,0.21617,0.116225,0.382389,0.181864,0.06455150000000001,0.457358,0.08756549999999999,0.044709,0.155569,0.132606,0.061337,0.266731,0.145007,0.081722,0.264301
5,0.23212549999999998,0.12576299999999999,0.39646825,0.15952349999999998,0.0555445,0.40323025,0.089308,0.047068,0.156299,0.154682,0.07093075,0.30755975,0.16689700000000002,0.09107875,0.29588625
6,0.231396,0.12419,0.395494,0.156423,0.052314,0.389878,0.088656,0.045213,0.154874,0.159106,0.076468,0.318296,0.166865,0.088472,0.311544
7,0.225229,0.120677,0.39367625,0.148826,0.05788625,0.39294025,0.090222,0.04602575,0.160911,0.163774,0.07551,0.3184485,0.16135850000000002,0.08888874999999999,0.314832
9,0.24095675,0.13678828571428572,0.391007,0.16677399999999998,0.062801,0.384003,0.076494,0.041924,0.130341,0.212968,0.09606,0.370934,0.1447465,0.075484,0.278694
10,0.2326265,0.13339099999999998,0.39427475,0.1395675,0.048519999999999994,0.338723,0.08754050000000001,0.04388675,0.14601075,0.17060999999999998,0.08052825,0.32830925,0.175762,0.09614149999999999,0.31858699999999995
11,0.22600350000000002,0.127618,0.40215225,0.1397145,0.05024475,0.35209325,0.0866325,0.044778,0.1475415,0.179234,0.08345875,0.32919175,0.180662,0.09714525,0.32137499999999997
12,0.233203,0.1327355,0.39693049999999996,0.136515,0.046465,0.33436,0.086564,0.045342,0.154978,0.175212,0.0843105,0.332932,0.180318,0.0949315,0.33165849999999997
13,0.225069,0.126225,0.388888,0.138655,0.04734,0.345181,0.087448,0.044741,0.158685,0.169444,0.080872,0.318957,0.175642,0.092749,0.334147
14,0.228304,0.124939,0.40243249999999997,0.142955,0.0413355,0.370773,0.083697,0.042667,0.143146,0.170377,0.077771,0.336087,0.1687,0.09161475,0.326266
15,0.225322,0.127521,0.387365,0.1218485,0.02927725,0.31290975,0.0863255,0.0536765,0.157831,0.210569,0.0986335,0.3649405,0.2319635,0.107075,0.49646650000000003
