day,sadness_50th,sadness_25th,sadness_75th,joy_50th,joy_25th,joy_75th,fear_50th,fear_25th,fear_75th,disgust_50th,disgust_25th,disgust_75th,anger_50th,anger_25th,anger_75th
1,0.258845,0.15185300000000002,0.4120405,0.113611,0.0399575,0.30397300000000005,0.087169,0.045468499999999995,0.15333633333333335,0.24574,0.118721,0.42824925,0.157351,0.082876,0.3021735
2,0.239413,0.135307,0.399658,0.13366,0.041662,0.34639,0.081308,0.0418,0.148058,0.209375,0.101409,0.377191,0.162867,0.0904925,0.313374
3,0.22697,0.1255155,0.381667,0.15879,0.05109325,0.4009025,0.07577,0.0391185,0.13829825,0.176248,0.08354349999999999,0.33229699999999995,0.144671,0.0810815,0.275071
4,0.251921,0.14283975,0.410845,0.133372,0.04439075,0.355608,0.083311,0.04390925,0.14697525,0.18169849999999999,0.08599075,0.33581649999999996,0.164301,0.09120400000000001,0.30449975
5,0.265829,0.149615,0.425333,0.116939,0.038487,0.305369,0.084134,0.045706,0.148067,0.201443,0.098965,0.365508,0.183113,0.099576,0.329631
6,0.26225299999999996,0.147867,0.4227205,0.125124,0.0417135,0.32103125,0.08303050000000001,0.043660750000000005,0.14620725,0.194936,0.095215,0.34816175,0.176038,0.095465,0.322929
7,0.275665,0.1519105,0.4447105,0.125886,0.043167,0.3127885,0.083592,0.044264,0.15050950000000002,0.210957,0.102201,0.36734049999999996,0.18099,0.0980085,0.32362675
9,0.269249,0.154703,0.417044,0.13348347368421054,0.045773666666666664,0.318361,0.08101762500000001,0.042433090909090906,0.138651,0.23855545454545454,0.121746,0.397244,0.165947,0.086103,0.3026775
10,0.2666815,0.15208025,0.43148875,0.109869,0.037268499999999996,0.29220674999999996,0.08741,0.04654825,0.14741949999999998,0.2003855,0.10147525,0.35865525,0.188448,0.10233624999999999,0.33603925
11,0.265783,0.14882601785714286,0.43348675,0.1137175,0.037579999999999995,0.307985,0.0842155,0.04465875,0.14391225,0.203156,0.1015415,0.357709,0.1882395,0.10049525000000001,0.338609
12,0.269212,0.14975,0.445242,0.111814,0.03619,0.300933,0.084242,0.045502,0.1438,0.203788,0.103779,0.357979,0.186018,0.100834,0.336591
13,0.258743,0.147563,0.4326445,0.113945,0.03925025,0.30576375,0.085185,0.045387,0.14864899999999998,0.19859500000000002,0.1000345,0.349204,0.1853135,0.09969125,0.3368575
14,0.2662035,0.14511875,0.43857575,0.1152445,0.0355585,0.31726025,0.08137649999999999,0.043636,0.1380885,0.203287,0.10449349999999999,0.37400475,0.18071900000000002,0.097568,0.32898099999999997
15,0.25077649999999996,0.12927924999999998,0.44141,0.1289805,0.03735,0.32173875,0.08029449999999999,0.03952525,0.14262425,0.1864885,0.111335,0.35367824999999997,0.18711,0.08983725,0.36222125
